tournament,player,round,hole,shotNumber,shotDist,toHole,location
R2026556,32102,Round_1,Hole_1,1,319 yds,159 yds,Right Fairway
R2026556,32102,Round_1,Hole_1,2,157 yds,13 ft 1 in.,Right Green
R2026556,32102,Round_1,Hole_1,3,12 ft 11 in.,11 in,Right Green
R2026556,32102,Round_1,Hole_1,4,11 in,,
R2026556,49855,Round_1,Hole_1,1,316 yds,193 yds,Left Fairway
R2026556,49855,Round_1,Hole_1,2,188 yds,63 ft 10 in.,Right Bunker
R2026556,49855,Round_1,Hole_1,3,66 ft 7 in.,4 ft 8 in.,Left Green
R2026556,49855,Round_1,Hole_1,4,4 ft 8 in.,,
R2026556,52453,Round_1,Hole_1,1,309 yds,161 yds,Right Intermediate
R2026556,52453,Round_1,Hole_1,2,167 yds,30 ft 9 in.,Left Rough
R2026556,52453,Round_1,Hole_1,3,31 ft 8 in.,11 in,Right Green
R2026556,52453,Round_1,Hole_1,4,11 in,,
