courseId,courseName,courseCode,tournamentId,courseParTotal,courseYardsTotal,hole,par,yards,scoringAverage,scoringAverageDiff,scoringDiffTendency,eagles,birdies,pars,bogeys,doubleBogey,rank,pinGreenLeftToRightCoords,pinGreenBottomToTopCoords
608,Oakmont Country Club,OC,R2025026,70,7372.0,1,4,488,4.349,0.349,ABOVE,1,31,253,132,25,6,"(0.5499381631800832, 0.33120406055726515, -1.0)","(0.33120406055726515, 0.45006183681991685, -1.0)"
608,Oakmont Country Club,OC,R2025026,70,7372.0,2,4,346,4.313,0.313,ABOVE,0,53,236,125,24,7,"(0.5197283139608929, 0.20849787444986045, -1.0)","(0.20849787444986045, 0.4802716860391071, -1.0)"
608,Oakmont Country Club,OC,R2025026,70,7372.0,3,4,462,4.45,0.45,ABOVE,1,34,221,149,32,4,"(0.4392145609294706, 0.349536738828844, -1.0)","(0.349536738828844, 0.5607854390705294, -1.0)"
608,Oakmont Country Club,OC,R2025026,70,7372.0,4,5,611,4.991,-0.009,BELOW,5,115,225,81,13,17,"(0.5114133985892203, 0.32747840934876093, -1.0)","(0.32747840934876093, 0.4885866014107797, -1.0)"
608,Oakmont Country Club,OC,R2025026,70,7372.0,5,4,408,4.153,0.153,ABOVE,0,55,286,88,11,12,"(0.5992088317839999, 0.23535840896556104, -1.0)","(0.23535840896556104, 0.40079116821600014, -1.0)"
608,Oakmont Country Club,OC,R2025026,70,7372.0,6,3,200,3.167,0.167,ABOVE,1,60,263,108,9,11,"(0.4245400028628228, 0.396933774800165, -1.0)","(0.396933774800165, 0.5754599971371772, -1.0)"
608,Oakmont Country Club,OC,R2025026,70,7372.0,7,4,485,4.309,0.309,ABOVE,0,34,262,127,19,8,"(0.6294173038746933, 0.40365824928544225, -1.0)","(0.40365824928544225, 0.3705826961253067, -1.0)"
608,Oakmont Country Club,OC,R2025026,70,7372.0,8,3,289,3.466,0.466,ABOVE,0,12,239,168,24,3,"(0.6239000567152929, 0.49077878232282496, -1.0)","(0.49077878232282496, 0.3760999432847071, -1.0)"
608,Oakmont Country Club,OC,R2025026,70,7372.0,9,4,472,4.52,0.52,ABOVE,0,21,214,170,35,1,"(0.39987576677963127, 0.7653214604741599, -1.0)","(0.7653214604741599, 0.6001242332203687, -1.0)"
608,Oakmont Country Club,OC,R2025026,70,7372.0,10,4,461,4.232,0.232,ABOVE,0,44,270,114,15,10,"(0.5752386182059557, 0.64707457060296, -1.0)","(0.64707457060296, 0.4247613817940443, -1.0)"
