tournament,player,round,hole,shotNumber,shotDist,toHole,location
R2026556,12716,Round_1,Hole_1,1,334 yds,82 yds,Left Fairway
R2026556,12716,Round_1,Hole_1,2,80 yds,5 ft 11 in.,Left Green
R2026556,12716,Round_1,Hole_1,3,5 ft 11 in.,,
R2026556,12716,Round_1,Hole_2,1,289 yds,260 yds,Left Fairway
R2026556,12716,Round_1,Hole_2,2,238 yds,79 ft 5 in.,Right Rough
R2026556,12716,Round_1,Hole_2,3,37 yds,29 ft 10 in.,Left Green
R2026556,12716,Round_1,Hole_2,4,27 ft 7 in.,3 ft 4 in.,Right Green
R2026556,12716,Round_1,Hole_2,5,3 ft 4 in.,,
R2026556,12716,Round_1,Hole_3,1,198 yds,29 ft 10 in.,Left Intermediate
R2026556,12716,Round_1,Hole_3,2,28 ft 10 in.,19 in,Left Green
R2026556,12716,Round_1,Hole_3,3,19 in,,
R2026556,12716,Round_1,Hole_4,1,303 yds,88 yds,Left Fairway
R2026556,12716,Round_1,Hole_4,2,82 yds,18 ft 1 in.,Left Intermediate
R2026556,12716,Round_1,Hole_4,3,18 ft 1 in.,,
R2026556,12716,Round_1,Hole_5,1,300 yds,173 yds,Left Fairway
R2026556,12716,Round_1,Hole_5,2,174 yds,4 ft 9 in.,Right Green
R2026556,12716,Round_1,Hole_5,3,4 ft 9 in.,,
R2026556,12716,Round_1,Hole_6,1,259 yds,152 yds,Right Tree Outline
R2026556,12716,Round_1,Hole_6,2,139 yds,40 ft 1 in.,Right Fairway
R2026556,12716,Round_1,Hole_6,3,26 ft 8 in.,13 ft 5 in.,Left Green
R2026556,12716,Round_1,Hole_6,4,15 ft 4 in.,2 ft 2 in.,Left Green
R2026556,12716,Round_1,Hole_6,5,2 ft 2 in.,,
R2026556,12716,Round_1,Hole_7,1,284 yds,168 yds,Right Bunker
R2026556,12716,Round_1,Hole_7,2,123 yds,45 yds,Right Rough
R2026556,12716,Round_1,Hole_7,3,54 yds,26 ft 11 in.,Right Green
R2026556,12716,Round_1,Hole_7,4,28 ft 6 in.,17 in,Right Green
R2026556,12716,Round_1,Hole_7,5,17 in,,
R2026556,12716,Round_1,Hole_8,1,219 yds,16 ft 5 in.,Left Green
R2026556,12716,Round_1,Hole_8,2,17 ft 0 in.,4 in,Left Green
R2026556,12716,Round_1,Hole_8,3,4 in,,
R2026556,12716,Round_1,Hole_9,1,311 yds,304 yds,Left Tree Outline
R2026556,12716,Round_1,Hole_9,2,214 yds,90 yds,Left Bunker
R2026556,12716,Round_1,Hole_9,3,112 yds,65 ft 1 in.,Right Rough
R2026556,12716,Round_1,Hole_9,4,79 ft 4 in.,14 ft 1 in.,Left Green
R2026556,12716,Round_1,Hole_9,5,17 ft 0 in.,2 ft 9 in.,Right Green
R2026556,12716,Round_1,Hole_9,6,2 ft 9 in.,,
R2026556,12716,Round_1,Hole_10,1,238 yds,177 yds,Left Fairway
R2026556,12716,Round_1,Hole_10,2,175 yds,8 ft 8 in.,Right Green
R2026556,12716,Round_1,Hole_10,3,8 ft 8 in.,,
R2026556,12716,Round_1,Hole_11,1,297 yds,252 yds,Left Bunker
R2026556,12716,Round_1,Hole_11,2,128 yds,140 yds,Right Fairway
R2026556,12716,Round_1,Hole_11,3,142 yds,17 ft 7 in.,Left Fairway
R2026556,12716,Round_1,Hole_11,4,21 ft 6 in.,3 ft 7 in.,Right Green
R2026556,12716,Round_1,Hole_11,5,3 ft 7 in.,,
R2026556,12716,Round_1,Hole_12,1,243 yds,132 yds,Right Intermediate
